sample_id,fft_magnitude_0,fft_magnitude_1,fft_magnitude_2,fft_frequency_0,fft_frequency_1,fft_frequency_2,spectral_centroid,mean,std_dev,kurtosis,skewness,rms,peak_index_0,peak_index_1,peak_index_2,peak_amplitude_0,peak_amplitude_1,peak_amplitude_2
audio_01,449.8028,273.0868,185.9075,561.84,1284.88,2569.76,2731.6851,0.008139,0.165916,3.7255,0.2573,0.176028,531,1382,2934,379.0742,224.4226,160.9987
audio_02,365.5186,209.3848,218.626,421.94,1330.13,2212.58,1882.2469,0.002887,0.14547,3.6254,0.2299,0.181249,463,1684,3070,351.8259,307.0145,107.2705
audio_03,432.5318,182.0165,106.8726,455.75,1430.77,2691.41,2053.7407,-0.000409,0.135644,2.9681,0.2579,0.221714,539,1394,3097,388.8205,239.5385,171.4087
audio_04,481.86,326.564,126.4313,415.26,1369.69,2932.66,1908.3303,0.000515,0.14681,2.6823,0.5125,0.230687,506,1616,3100,374.5184,286.2628,203.8313
audio_05,417.8504,358.2322,55.2102,505.75,1333.06,2550.3,2136.7043,-0.013901,0.17341,3.6143,0.6456,0.174452,447,1495,3145,428.0813,246.1608,167.9644
audio_06,425.8247,328.4322,131.9179,413.79,1261.18,2200.95,2218.4481,0.004088,0.180153,3.2592,0.0669,0.177381,484,1471,3059,432.2228,354.8784,156.1102
audio_07,435.453,276.2777,83.2492,437.88,1329.03,3378.97,2023.0556,0.004412,0.178959,2.6988,0.5786,0.212558,575,1463,3184,332.8982,296.4086,226.6659
audio_08,360.5678,251.6851,163.9861,399.72,1087.4,2660.57,1675.0785,0.005789,0.152417,4.33,0.1933,0.180338,577,1437,3090,481.8929,197.6633,156.4622
audio_09,435.593,319.0911,110.522,334.36,1398.29,2729.1,2200.1971,0.004772,0.159599,3.5394,0.4086,0.168569,661,1573,2976,446.1104,226.1393,177.548
audio_10,489.5157,238.9659,198.535,473.02,1443.31,3209.04,2001.8448,-0.00403,0.153315,2.9105,0.3346,0.200235,534,1602,3073,489.9444,258.0904,245.2059
