sample_id,fft_magnitude_0,fft_magnitude_1,fft_magnitude_2,fft_frequency_0,fft_frequency_1,fft_frequency_2,spectral_centroid,mean,std_dev,kurtosis,skewness,rms,peak_index_0,peak_index_1,peak_index_2,peak_amplitude_0,peak_amplitude_1,peak_amplitude_2
text_01,115.8923,34.6653,36.3577,163.25,282.27,840.47,803.873,0.042563,0.075567,6.3544,1.4803,0.077665,99,263,522,80.9387,44.6859,23.6744
text_02,104.8613,47.4223,33.4773,182.26,549.69,911.1,916.2185,0.040103,0.039428,5.7887,0.7952,0.074727,64,306,521,85.1798,64.4411,5.8886
text_03,100.8904,68.8756,12.257,154.31,507.08,897.71,813.9007,0.072248,0.072728,7.5475,1.2892,0.067252,88,230,514,79.4915,59.1847,31.3366
text_04,120.9385,45.8197,26.7615,90.64,444.46,1016.6,836.258,0.033934,0.083044,9.0979,1.5947,0.108152,40,218,458,122.913,61.8155,27.4442
text_05,101.9992,34.7412,59.349,123.88,488.75,1068.86,786.5817,0.047687,0.058143,7.8601,2.1087,0.100181,111,240,482,87.2327,52.8359,38.9419
text_06,52.6884,82.5319,28.1039,107.19,399.03,711.77,848.1707,0.04588,0.050651,5.3869,1.3325,0.105035,56,210,504,84.0001,11.5467,27.4571
text_07,89.2266,67.5317,52.1875,153.8,458.49,794.02,1163.2048,0.045711,0.070209,7.1662,1.5193,0.077835,46,239,511,78.0447,41.3073,29.0643
text_08,88.6256,82.0719,1.8116,152.75,579.69,648.99,638.3162,0.040543,0.048887,6.1111,1.0613,0.106284,92,294,533,65.1609,44.1322,32.8937
text_09,64.4468,67.834,27.1161,108.76,536.88,1026.64,635.0261,0.058912,0.053784,8.0623,1.6576,0.075357,73,218,539,85.9322,44.1592,38.4901
text_10,77.3914,29.6477,11.3204,138.18,377.57,1223.22,325.2527,0.065357,0.073165,7.0646,1.2593,0.085987,62,289,515,93.3066,46.5458,27.4305
